id,subject,status,priority,type,created_at,updated_at,custom_fields.cf_sgdb,custom_fields.cf_ambiente,custom_fields.cf_csi_status
56369,INFO: Database Checklist on Server: SES-CLO-BD-SER,5,1,Checklist,2026-01-07T09:55:31Z,2026-01-07T13:17:49Z,Sql Server,Produção,NA - Não aplicavel
56368,INFO: Database Checklist on Server: SES-SQL-PRD,5,1,Checklist,2026-01-07T09:55:30Z,2026-01-07T12:50:56Z,Sql Server,Produção,NA - Não aplicavel
56367,INFO: Database Checklist on Server: CALIFORNIA,5,1,Checklist,2026-01-07T09:55:28Z,2026-01-07T12:51:20Z,Sql Server,Produção,NA - Não aplicavel
56366,INFO: Database Checklist on Server: SRVBDCD,5,1,Checklist,2026-01-07T09:55:27Z,2026-01-07T13:18:14Z,Sql Server,Produção,NA - Não aplicavel
56365,INFO: Database Checklist on Server: SRVBDADM,5,1,Checklist,2026-01-07T09:55:26Z,2026-01-07T13:18:38Z,Sql Server,Produção,NA - Não aplicavel
56364,INFO: Database Checklist on Server: SRVBDADM\BI,5,1,Checklist,2026-01-07T09:55:25Z,2026-01-07T12:20:21Z,Sql Server,Produção,NA - Não aplicavel
56363,INFO: Database Checklist on Server: SRVBDADM\PACK,5,1,Checklist,2026-01-07T09:55:23Z,2026-01-07T12:19:54Z,Sql Server,Produção,NA - Não aplicavel
56362,INFO: Database Checklist on Server: SRVBDADM\BIMER,5,1,Checklist,2026-01-07T09:55:22Z,2026-01-07T12:19:28Z,Sql Server,Produção,NA - Não aplicavel
56360,Mills - Checklist Oracle - SMAWSBWVBP02 (BP1),5,1,Checklist,2026-01-07T09:51:22Z,2026-01-07T12:21:09Z,Oracle,Produção,
56335,ALERT: There are 5 Blocked Processes for more than 5 minutes and a total of 33 Lock(s) on Server: SMLSAWSSQLVP01,5,1,Checklist,2026-01-06T13:44:37Z,2026-01-06T13:51:37Z,Oracle,,
56334,SNCBDO01 - Health Check Diário,5,1,Checklist,2026-01-06T11:03:38Z,2026-01-06T12:41:35Z,Oracle,Produção,
56333,A Nossa Drogaria - Server Summary,5,1,Checklist,2026-01-06T11:00:32Z,2026-01-06T13:39:18Z,Sql Server,Produção,
56332,Mills - Checklist Oracle - SMAWSMCPVBP01 (MCP),5,1,Checklist,2026-01-06T11:00:12Z,2026-01-06T13:52:01Z,Oracle,Produção,
56328,Mills - Checklist Oracle - SAP (ECP),5,1,Checklist,2026-01-06T10:13:09Z,2026-01-06T13:52:35Z,Oracle,Produção,
56327,INFO: Database Checklist on Server: SES-SQL-PRD\BI,5,1,Checklist,2026-01-06T10:04:24Z,2026-01-06T13:39:42Z,Sql Server,Produção,
56326,Mills - Checklist Oracle - SMAWSECCVBQ01 (ECQ),5,1,Checklist,2026-01-06T10:03:44Z,2026-01-06T13:53:05Z,Oracle,Produção,
56325,Mills - Checklist Oracle - (MCQ),5,1,Checklist,2026-01-06T10:00:13Z,2026-01-06T14:24:57Z,Oracle,Produção,
56324,Mills - Checklist Oracle - SMAWSECCVBD01 (ECD),5,1,Checklist,2026-01-06T10:00:08Z,2026-01-06T14:10:22Z,Oracle,Produção,
56321,Mills - Checklist Oracle - (POP),5,1,Checklist,2026-01-06T10:00:04Z,2026-01-06T14:09:52Z,Oracle,Produção,
56322,Mills - Checklist Oracle - (GWP),5,1,Checklist,2026-01-06T10:00:04Z,2026-01-06T14:09:57Z,Oracle,Produção,
56323,Mills - Checklist Oracle - (GRP),5,1,Checklist,2026-01-06T10:00:04Z,2026-01-06T14:10:08Z,Oracle,Produção,
56320,Mills - Checklist Oracle - (GRD),5,1,Checklist,2026-01-06T10:00:03Z,2026-01-06T14:09:28Z,Oracle,Produção,
56319,Mills - Checklist Oracle - (POD),5,1,Checklist,2026-01-06T10:00:03Z,2026-01-06T14:24:36Z,Oracle,Produção,
56318,INFO: Database Checklist on Server: SRVBD,5,1,Checklist,2026-01-06T09:55:51Z,2026-01-06T13:40:10Z,Sql Server,Produção,
56317,INFO: Database Checklist on Server: SES-CLO-BD-SER,5,1,Checklist,2026-01-06T09:55:49Z,2026-01-06T13:41:19Z,Sql Server,Produção,
56316,INFO: Database Checklist on Server: SES-SQL-PRD,5,1,Checklist,2026-01-06T09:55:48Z,2026-01-06T13:42:10Z,Sql Server,Produção,
56315,INFO: Database Checklist on Server: SRVBDADM,5,1,Checklist,2026-01-06T09:55:14Z,2026-01-06T13:49:19Z,Sql Server,Produção,
56314,INFO: Database Checklist on Server: CALIFORNIA,5,1,Checklist,2026-01-06T09:55:13Z,2026-01-06T16:22:29Z,Sql Server,Produção,NA - Não aplicavel
56313,INFO: Database Checklist on Server: SRVBDCD,5,1,Checklist,2026-01-06T09:55:11Z,2026-01-06T16:22:51Z,Sql Server,Produção,NA - Não aplicavel
56311,INFO Engeman: Database Checklist on Server: SMLSAWSSQLVP01,5,1,Checklist,2026-01-06T09:55:10Z,2026-01-06T14:24:45Z,Oracle,Produção,
56312,INFO: Database Checklist on Server: SRVBDADM\BIMER,5,1,Checklist,2026-01-06T09:55:10Z,2026-01-06T16:23:12Z,Sql Server,Produção,NA - Não aplicavel
56310,INFO: Database Checklist on Server: SRVBDADM\BI,5,1,Checklist,2026-01-06T09:55:09Z,2026-01-06T16:24:06Z,Sql Server,Produção,NA - Não aplicavel
56309,INFO: Database Checklist on Server: SRVBDADM\PACK,5,1,Checklist,2026-01-06T09:55:07Z,2026-01-06T16:23:39Z,Sql Server,Produção,NA - Não aplicavel
56308,Mills - Checklist Oracle - SMAWSBWVBP02 (BP1),5,1,Checklist,2026-01-06T09:51:38Z,2026-01-06T12:49:56Z,Oracle,Produção,
56278,SNCBDO01 - Health Check Diário,5,1,Checklist,2026-01-05T11:04:24Z,2026-01-05T11:29:03Z,Sql Server,Produção,
56277,A Nossa Drogaria - Server Summary,5,1,Checklist,2026-01-05T11:00:50Z,2026-01-05T11:43:51Z,Sql Server,Produção,
56276,Mills - Checklist Oracle - SMAWSMCPVBP01 (MCP),5,1,Checklist,2026-01-05T11:00:09Z,2026-01-05T11:30:34Z,Sql Server,Produção,
56272,Mills - Checklist Oracle - SAP (ECP),5,1,Checklist,2026-01-05T10:13:01Z,2026-01-05T11:34:06Z,Sql Server,Produção,
